m,Error_Verlet,Error_FR
10,0.0291283713448575,0.354838565661412
30,0.00390075292656508,0.118297250716274
60,0.00102855682744887,0.0588763425677836
100,0.00037830592268301,0.0352484978200164
500,1.55260654535803e-05,0.00702983917843382
1000,3.89397154913511e-06,0.00351365456852076
